champion,kills,deaths,assists,totalMinionsKilled,goldEarned,timeCCingOthers,totalDamageDealtToChampions,totalDamageTaken,visionScore,Cleanse,Exhaust,Flash,Ghost,Heal,Smite,Teleport,Clarity,Ignite,Barrier,To the King!,Poro Toss,Mark,Nexus Siege: Siege Weapon Slot,Nexus Siege: Siege Weapon Slot,Disabled Summoner Spells,Disabled Summoner Spells
Ezreal,9.14934,7.23094,10.5208,152.16,14732.6,5.0303,26697.5,21851.9,19.2694,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mordekaiser,6.87365,7.9934,8.92727,150.393,13260.4,7.44641,20179.8,18755.9,13.7821,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yorick,7.45648,8.0967,10.9617,171.937,14672.7,14.1474,20834.7,32716.3,13.0615,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akali,8.35305,8.95869,7.32618,137.247,12897.8,15.3138,18653.7,29587.2,15.6604,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kennen,7.25944,7.85425,11.4771,144.606,13584.1,23.6759,21946.2,22149.7,20.0569,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garen,9.18959,7.58814,9.76054,149.549,14274.2,41.3844,20748.2,35233.0,13.0957,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leona,3.23254,6.43604,15.4202,48.1923,10506.5,44.8392,8946.46,22530.8,45.2342,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malzahar,6.57813,6.06039,10.439,184.877,13574.7,60.5617,22414.2,16866.1,21.8546,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Talon,10.0344,7.92034,7.91161,166.265,14065.4,4.16833,21695.2,24233.3,21.6231,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riven,8.2813,7.84978,7.34634,156.25,13492.1,28.8685,17501.7,25903.6,18.3352,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KogMaw,9.18954,8.52435,10.0086,173.466,15002.6,10.3047,27190.0,21966.8,14.6536,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shen,4.9228,5.5941,14.7267,131.625,12199.5,36.3616,13190.3,26987.9,18.0453,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lux,8.4679,6.8309,19.9466,104.596,13276.1,52.3001,24578.7,17026.4,22.2431,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xerath,8.15949,6.78839,13.4097,129.769,13426.5,29.6355,26399.9,16891.7,19.475,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shyvana,7.71036,6.04474,8.10612,67.3755,13654.8,7.33852,17650.2,33886.0,23.7093,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahri,8.82247,7.18597,14.8735,158.934,13864.3,21.8576,24688.3,22317.4,16.3687,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graves,9.41292,7.95196,10.0285,71.1,15831.7,17.6033,22073.9,26925.8,20.0384,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fizz,10.3599,7.74263,8.381,145.983,13703.7,13.7007,20328.3,23499.2,17.068,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volibear,9.0949,9.90096,16.4907,73.9515,14700.8,38.8022,18837.2,43611.7,12.0536,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rengar,9.24236,7.40798,6.72036,73.442,13216.5,12.364,18136.6,29026.3,23.9608,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varus,8.51296,7.81556,11.676,183.186,15047.3,30.7145,22467.6,20734.6,14.8672,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nautilus,4.55263,7.96685,16.543,79.4435,12415.0,65.137,14338.9,27208.3,24.9068,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viktor,8.18438,8.7081,11.1514,170.519,14185.5,20.0212,24845.8,20125.5,14.8419,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sejuani,5.01902,5.56398,13.9288,41.9188,12017.1,37.5095,12748.5,33318.1,27.895,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fiora,7.55296,7.69682,7.21224,180.739,13621.5,8.776,19645.3,30640.6,16.5361,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ziggs,11.0249,7.49858,19.4398,151.01,16239.5,27.5268,35741.1,19111.5,13.7995,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lulu,3.15785,5.73842,16.6194,33.0852,11042.4,32.219,9484.88,15791.6,37.4472,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Draven,9.62386,9.43073,11.6872,175.298,15686.0,12.9527,24447.6,24076.9,12.2688,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hecarim,8.04203,7.99094,9.5462,55.2623,12842.3,19.3487,16489.1,34895.4,20.2932,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khazix,9.72942,6.31606,7.50595,43.096,13162.9,7.13595,17875.2,29095.7,22.4526,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius,8.05173,7.60462,8.3065,170.02,13375.6,24.6004,18255.6,32722.8,15.945,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayce,9.95466,7.05133,10.1448,180.214,14524.1,8.55346,25891.2,22403.5,21.0218,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lissandra,8.13874,9.79667,16.4761,164.894,15358.6,50.9756,23192.8,26227.5,14.389,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diana,9.54597,8.24007,10.8481,137.369,14218.3,12.133,22142.9,24568.3,16.2279,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quinn,9.72972,10.0029,12.1619,135.581,14404.7,32.546,23496.0,24486.9,17.77,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
